"NUMBER","INETSDESC","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"EPESPI              ","Spirit Evocation poster                                                                                                 ","149","0.03","1.25",,0,"EPESPI.jpg                              ",0
"EPEWAT              ","Water Evocation poster                                                                                                  ","293","0.03","1.25",,0,"EPEWAT.jpg                              ",0
"EPFALP              ","Falcon Prayer poster                                                                                                    ","154","0.03","1.25",,0,"EPFALP.jpg                              ",0
"EPFAT               ","Great Father Spirit poster                                                                                              ","240","0.03","1.25",,0,"EPFAT.jpg                               ",0
"EPFIRD              ","Fire Dragon poster                                                                                                      ","515","0.03","1.25",,0,"EPFIRD.jpg                              ",0
"EPFOXP              ","Fox Prayer poster                                                                                                       ","385","0.03","1.25",,0,"EPFOXP.jpg                              ",0
"EPGAR               ","Garuda poster                                                                                                           ","598","0.03","1.25",,0,"EPGAR.jpg                               ",0
"EPGEM               ","Gemini zodiac poster                                                                                                    ","136","0.03","1.25",,0,"EPGEM.jpg                               ",0
"EPGOE               ","Goetic Circle poster                                                                                                    ","191","0.02","1.25",,0,"EPGOE.JPG                               ",0
"EPGORP              ","Gorilla Prayer poster                                                                                                   ","601","0.03","1.25",,0,"EPGORP.jpg                              ",0
"EPGRE               ","Greenman poster                                                                                                         ","512","0.02","1.25",,0,"EPGRE.JPG                               ",0
"EPGREM              ","Great Mother Spirit poster                                                                                              ","222","0.03","1.25",,0,"EPGREM.jpg                              ",0
"EPGUAP              ","Guardian's Prayer poster                                                                                                ","476","0.03","1.25",,0,"EPGUAP.jpg                              ",0
"EPHEDP              ","Hedgehog Prayer poster                                                                                                  ","372","0.03","1.25",,0,"EPHEDP.jpg                              ",0
"EPHEP               ","Hephaestus poster                                                                                                       ","420","0.03","1.25",,0,"EPHEP.jpg                               ",0
"EPHERP              ","Heron Prayer poster                                                                                                     ","433","0.03","1.25",,0,"EPHERP.jpg                              ",0
"EPHEX               ","Hex Signs poster                                                                                                        ","491","0.02","1.25",,0,"EPHEX.JPG                               ",0
"EPHOMB              ","Home Blessing poster                                                                                                    ","389","0.03","1.25",,0,"EPHOMB.jpg                              ",0
"EPHOR               ","Horned God poster                                                                                                       ","521","0.02","1.25",,0,"EPHOR.jpg                               ",0
"EPHORL              ","Horned Lord poster                                                                                                      ","429","0.03","1.25",,0,"EPHORL.jpg                              ",0
"EPHORSE             ","Horse Prayer poster                                                                                                     ","318","0.03","1.25",,0,"EPHORSE.jpg                             ",0
"EPHORUS             ","Horus poster                                                                                                            ","231","0.03","1.25",,0,"EPHORUS.jpg                             ",0
"EPHUMP              ","Hummingbird Prayer poster                                                                                               ","189","0.03","1.25",,0,"EPHUMP.jpg                              ",0
"EPIAIR              ","Air Invocation poster                                                                                                   ","584","0.03","1.25",,0,"EPIAIR.jpg                              ",0
"EPIEAR              ","Earth Invocation poster                                                                                                 ","320","0.03","1.25",,0,"EPIEAR.jpg                              ",0
"EPIFIR              ","Fire Invocation poster                                                                                                  ","443","0.03","1.25",,0,"EPIFIR.jpg                              ",0
"EPIMFH              ","I'm From Here poster                                                                                                    ","361","0.03","1.25",,0,"EPIMFH.jpg                              ",0
"EPISPI              ","Spirit Invocation poster                                                                                                ","221","0.03","1.25",,0,"EPISPI.jpg                              ",0
"EPIWAT              ","Water Invocation poster                                                                                                 ","443","0.03","1.25",,0,"EPIWAT.jpg                              ",0
"EPLAKP              ","Lake Prayer poster                                                                                                      ","391","0.03","1.25",,0,"EPLAKP.jpg                              ",0
"EPLEO               ","Leo zodiac poster                                                                                                       ","497","0.03","1.25",,0,"EPLEO.jpg                               ",0
"EPLIB               ","Libra zodiac poster                                                                                                     ","532","0.03","1.25",,0,"EPLIB.jpg                               ",0
"EPLIOP              ","Lion Prayer poster                                                                                                      ","509","0.03","1.25",,0,"EPLIOP.jpg                              ",0
"EPMANP              ","Mantis Prayer poster                                                                                                    ","449","0.03","1.25",,0,"EPMANP.jpg                              ",0
"EPMAY               ","May The Circle Be Open Yet Unbroken poster                                                                              ","574","0.02","1.25",,0,"EPMAY.JPG                               ",0
"EPMOO               ","Moon Goddess poster                                                                                                     ","353","0.02","1.25",,0,"EPMOO.JPG                               ",0
"EPMOUNP             ","Mountain Prayer poster                                                                                                  ","121","0.03","1.25",,0,"EPMOUNP.jpg                             ",0
"EPMOUP              ","Mouse Prayer poster                                                                                                     ","460","0.03","1.25",,0,"EPMOUP.jpg                              ",0
"EPNIN               ","Nine Noble Virtues poster                                                                                               ","541","0.02","1.25",,0,"EPNIN.jpg                               ",0
"EPOAK               ","Oak poster                                                                                                              ","198","0.03","1.25",,0,"EPOAK.jpg                               ",0
"EPODI               ","Odin poster                                                                                                             ","494","0.03","1.25",,0,"EPODI.jpg                               ",0
"EPOTTP              ","Otter Prayer poster                                                                                                     ","436","0.03","1.25",,0,"EPOTTP.jpg                              ",0
"EPOWL               ","Owl poster                                                                                                              ","160","0.03","1.25",,0,"EPOWL.jpg                               ",0
"EPPAG               ","Pagan Year poster                                                                                                       ","325","0.02","1.25",,0,"EPPAG.JPG                               ",0
"EPPAN               ","Pan poster                                                                                                              ","484","0.02","1.25",,0,"EPPAN.JPG                               ",0
"EPPAN2              ","Joyful Pan poster                                                                                                       ","515","0.02","1.25",,0,"EPPAN2.jpg                              ",0
"EPPEN               ","Pentagram poster                                                                                                        ","502","0.02","1.25",,0,"EPPEN.JPG                               ",0
"EPPHO               ","Phoenix poster                                                                                                          ","124","0.03","1.25",,0,"EPPHO.jpg                               ",0
"EPPIS               ","Pisces zodiac poster                                                                                                    ","578","0.03","1.25",,0,"EPPIS.jpg                               ",0
"EPPRAE              ","Prayer to Eshu poster                                                                                                   ","581","0.03","1.25",,0,"EPPRAE.jpg                              ",0
"EPRAIP              ","Rain Prayer poster                                                                                                      ","446","0.03","1.25",,0,"EPRAIP.jpg                              ",0
"EPRAMP              ","Rambler's Prayer poster                                                                                                 ","550","0.03","1.25",,0,"EPRAMP.jpg                              ",0
"EPRAVP              ","Raven Prayer poster                                                                                                     ","487","0.03","1.25",,0,"EPRAVP.jpg                              ",0
"EPREDH              ","Rede of the Horned One poster                                                                                           ","117","0.03","1.25",,0,"EPREDH.jpg                              ",0
"EPRIVP              ","River Prayer poster                                                                                                     ","422","0.03","1.25",,0,"EPRIVP.jpg                              ",0
"EPROS               ","Rose Cross poster                                                                                                       ","191","0.02","1.25",,0,"EPROS.JPG                               ",0
"EPROW               ","Rowan Tree poster                                                                                                       ","572","0.03","1.25",,0,"EPROW.jpg                               ",0
"EPRUN               ","Runes poster                                                                                                            ","311","0.02","1.25",,0,"EPRUN.JPG                               ",0
"EPSAG               ","Sagittarius zodiac poster                                                                                               ","200","0.03","1.25",,0,"EPSAG.jpg                               ",0
"EPSCA               ","Scarab Prayer poster                                                                                                    ","298","0.03","1.25",,0,"EPSCA.jpg                               ",0
"EPSCO               ","Scorpio zodiac poster                                                                                                   ","466","0.03","1.25",,0,"EPSCO.jpg                               ",0
"EPSEAP              ","Seawater Prayer poster                                                                                                  ","191","0.03","1.25",,0,"EPSEAP.jpg                              ",0
"EPSIG               ","Sigillum Dei Aemeth poster                                                                                              ","177","0.02","1.25",,0,"EPSIG.JPG                               ",0
"EPSMUP              ","Smudging Prayer poster                                                                                                  ","402","0.03","1.25",,0,"EPSMUP.jpg                              ",0
"EPSNAP              ","Snake Prayer poster                                                                                                     ","518","0.03","1.25",,0,"EPSNAP.jpg                              ",0
"EPSOL               ","Solomon poster                                                                                                          ","474","0.02","1.25",,0,"EPSOL.JPG                               ",0
"EPSQUP              ","Squirrel Prayer poster                                                                                                  ","423","0.03","1.25",,0,"EPSQUP.jpg                              ",0
"EPTALP              ","Talisman Pentacle poster                                                                                                ","490","0.02","1.25",,0,"EPTALP.JPG                              ",0
"EPTAU               ","Taurus zodiac poster                                                                                                    ","114","0.03","1.25",,0,"EPTAU.jpg                               ",0
"EPTOAB              ","Toad Blessing poster                                                                                                    ","424","0.03","1.25",,0,"EPTOAB.jpg                              ",0
